Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029700302,-0.033720568,0.0,0.0,293.0
2000,1.4189383,0.00029100303,-0.05756424,None,None,None
3000,1.4189383,0.000285003,-0.07729181,None,None,None
4000,1.4189383,0.00027900303,-0.08437217,0.0,0.0,978.6666666666666
5000,1.4189383,0.00027300304,-0.0672373,0.0,0.0,1268.0
6000,1.4193999,0.00026700302,-0.076160416,0.0,0.0,362.3333333333333
7000,1.4195082,0.000261003,-0.042940862,0.0,0.0,360.5
8000,1.4195082,0.00025500305,-0.08526883,0.0,0.0,373.6666666666667
9000,1.4195082,0.00024900303,-0.068702444,0.0,0.0,256.0
10000,1.4195082,0.00024300304,-0.06809737,0.0,0.0,330.5
11000,1.4194942,0.00023700304,-0.027605642,None,None,None
12000,1.4194874,0.00023100304,-0.03886675,None,None,None
13000,1.4194874,0.00022500305,-0.055386122,0.0,0.0,1073.6666666666667
14000,1.4194874,0.00021900305,-0.060167465,0.0,0.0,277.5
15000,1.4194874,0.00021300303,-0.038975306,None,None,None
16000,1.4193652,0.00020700306,-0.023626298,0.0,0.0,2462.0
17000,1.419236,0.00020100304,-0.034308087,0.0,0.0,339.0
18000,1.419236,0.00019500304,-0.034104552,None,None,None
