Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4189383,0.00029970016,-0.09025422,-0.0275465,0.060080722,2.5000000596046448,0.0,0.0,2.5000000454019755,746.0
4000,1.4132584,0.00029910015,-0.03401859,-0.015364836,0.033591487,2.5000000596046448,1.2242630024751027,5.144208302100499,2.5000000454019755,746.0
6000,1.4103582,0.00029850015,-0.0007047739,0.022395296,0.14456852,2.5000000596046448,0.8622475992888212,4.922204375267029,2.5000000454019755,746.0
8000,1.4087653,0.00029790017,0.056474242,0.04164678,0.21851575,2.5000000596046448,0.34748013069232303,4.933612406253815,2.5000000454019755,746.0
10000,1.4081808,0.00029730017,0.10079742,0.055148445,0.29289624,2.5000000596046448,0.29487244226038456,4.617007076740265,2.5000000454019755,746.0
12000,1.4089425,0.0002967002,0.15262601,0.043008037,0.2982596,2.5000000596046448,0.1548703475855291,3.1820607036352158,2.5000000454019755,746.0
14000,1.4082831,0.00029610016,0.17671292,0.05075229,0.36080724,2.5000000596046448,0.19099926172445217,4.12158386905988,2.5000000454019755,746.0
16000,1.4074026,0.00029550015,0.19643305,0.053200267,0.4038675,2.5000000596046448,0.23167290228108564,4.296260426441829,2.5000000454019755,746.0
18000,1.4078491,0.00029490018,0.22547914,0.050409827,0.41520712,2.5000000596046448,0.2352387048304081,3.9423428028821945,2.5000000454019755,746.0
20000,1.4084316,0.00029430017,0.21655436,0.047077157,0.45681602,2.5000000596046448,0.2115938818703095,3.913447678089142,2.5000000454019755,746.0
22000,1.4082112,0.00029370017,0.20765567,0.04377222,0.45346755,2.5000000596046448,0.2352134920656681,3.125666707754135,2.5000000454019755,746.0
24000,1.4076885,0.00029310014,0.20974176,0.037300557,0.4622812,2.5000000596046448,0.2878595544025302,2.7149553447961807,2.5000000454019755,746.0
26000,1.4060682,0.00029250013,0.21820866,0.035986744,0.44623744,2.5000000596046448,0.3328338253001372,2.4825312991937003,2.5000000454019755,746.0
28000,1.4033823,0.00029190016,0.22724959,0.04291788,0.42982632,2.5000000596046448,0.26163221150636673,3.3996041665474572,2.5000000454019755,746.0
30000,1.4020761,0.00029130018,0.226087,0.041568696,0.42878857,2.5000000596046448,0.22983615938574076,1.8912350162863731,2.5000000454019755,746.0
32000,1.4035529,0.00029070018,0.24223143,0.044695444,0.40259323,2.5000000596046448,0.16701242638130984,2.033639674385389,2.5000000454019755,746.0
34000,1.4010774,0.00029010017,0.27758038,0.05377801,0.3731862,2.5000000596046448,0.31324119369188946,1.4195109208424885,2.5000000454019755,746.0
36000,1.4015328,0.00028950017,0.28619382,0.055821076,0.34738392,2.5000000596046448,0.3097147811204195,1.178984496742487,2.5000000454019755,746.0
38000,1.4012883,0.00028890016,0.2929172,0.059380963,0.3174318,2.5000000596046448,0.18698162709673247,0.8800538430611292,2.5000000454019755,746.0
40000,1.4032062,0.00028830016,0.32413012,0.052183934,0.29020056,2.5000000596046448,0.14183695893734694,0.730730727314949,2.5000000454019755,746.0
42000,1.4031101,0.00028770018,0.34536377,0.053654492,0.25699252,2.5000000596046448,0.16333570517599583,0.7436752207577229,2.5000000454019755,746.0
