Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4189383,0.00029970016,-0.09025226,-0.01537283,0.011123913,-2.5000000596046448,0.0,0.0,-2.5000000454019755,746.0
4000,1.4133035,0.00029910015,-0.09859052,-0.009894488,-0.004010844,-2.5000000596046448,0.6929152930776278,4.700154622395833,-2.5000000454019755,746.0
6000,1.4089863,0.00029850015,-0.1335077,0.0044421423,0.09904301,-2.5000000596046448,0.5908409412950277,3.8845850229263306,-2.5000000454019755,746.0
8000,1.407091,0.00029790017,-0.14270577,0.015305598,0.15747383,-2.5000000596046448,0.4435249188294013,2.8102270712455115,-2.5000000454019755,746.0
10000,1.4085561,0.00029730017,-0.15375377,0.015206512,0.17281878,-2.5000000596046448,0.21321292035281658,2.4986875355243683,-2.5000000454019755,746.0
12000,1.4106344,0.0002967002,-0.16823447,0.021386147,0.20583078,-2.5000000596046448,0.27803571056574583,2.7655549347400665,-2.5000000454019755,746.0
14000,1.4114517,0.00029610016,-0.18673077,0.031219782,0.25139344,-2.5000000596046448,0.32118204484383267,2.1434386074543,-2.5000000454019755,746.0
16000,1.4127358,0.00029550015,-0.20080316,0.03934732,0.26973403,-2.5000000596046448,0.37798273004591465,3.016987810532252,-2.5000000454019755,746.0
18000,1.4125581,0.00029490018,-0.2411848,0.049581222,0.2837259,-2.5000000596046448,0.4845142476260662,2.919632598757744,-2.5000000454019755,746.0
20000,1.4109002,0.00029430017,-0.24885175,0.05356963,0.31780192,-2.5000000596046448,0.31440165887276333,3.187029888232549,-2.5000000454019755,746.0
22000,1.4099798,0.00029370017,-0.26488402,0.074810475,0.5316443,-2.5000000596046448,0.5319979768246412,5.65690740942955,-2.5000000454019755,746.0
24000,1.4091758,0.00029310014,-0.26544738,0.08233179,0.6158725,-2.5000000596046448,0.5379957929253578,4.719654522836208,-2.5000000454019755,746.0
26000,1.4101099,0.00029250013,-0.27669564,0.08311686,0.6098062,-2.5000000596046448,0.36482132226228714,3.0510135690371194,-2.5000000454019755,746.0
28000,1.4119565,0.00029190016,-0.31199262,0.086171895,0.5795597,-2.5000000596046448,0.3841942027211189,4.5180531442165375,-2.5000000454019755,746.0
