Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.6093444,0.00029100303,-0.0028125069,-1.0010000430047512,-1.0009999310132116,985.0
3000,1.6093326,0.000285003,-0.0059565967,-1.0000000447034836,-0.9999999310821295,985.0
4000,1.6093462,0.00027900303,-0.040434532,-1.0000000447034836,-0.9999999310821295,985.0
5000,1.6093662,0.00027300304,-0.042954497,-1.0000000447034836,-0.9999999310821295,985.0
6000,1.6093601,0.00026700302,-0.035948977,-1.0000000447034836,-0.9999999310821295,985.0
7000,1.6093482,0.000261003,-0.034301214,-1.0000000447034836,-0.9999999310821295,985.0
8000,1.6093491,0.00025500305,-0.033758566,-1.0000000447034836,-0.9999999310821295,985.0
9000,1.6093508,0.00024900303,-0.028809646,-1.0000000447034836,-0.9999999310821295,985.0
10000,1.609346,0.00024300304,-0.03712263,-1.0000000447034836,-0.9999999310821295,985.0
11000,1.6081938,0.00023700304,-0.03232049,-1.0000000447034836,-0.9999999310821295,985.0
12000,1.6079441,0.00023100304,-0.037203044,-1.0000000447034836,-0.9999999310821295,985.0
13000,1.6081806,0.00022500305,-0.034585427,-1.0000000447034836,-0.9999999310821295,985.0
14000,1.607987,0.00021900305,-0.042293064,-1.0000000447034836,-0.9999999310821295,985.0
15000,1.6078563,0.00021300303,-0.05423855,-1.0000000447034836,-0.9999999310821295,985.0
16000,1.6078967,0.00020700306,-0.041457403,-1.0000000447034836,-0.9999999310821295,985.0
17000,1.6076511,0.00020100304,-0.053413868,-1.0000000447034836,-0.9999999310821295,985.0
18000,1.6078179,0.00019500304,-0.045613132,-1.0000000447034836,-0.9999999310821295,985.0
19000,1.6082685,0.00018900307,-0.04108043,-1.0000000447034836,-0.9999999310821295,985.0
20000,1.6081237,0.00018300307,-0.047262333,-1.0000000447034836,-0.9999999310821295,985.0
21000,1.6069509,0.00017700305,-0.04781683,-1.0000000447034836,-0.9999999310821295,985.0
22000,1.6055533,0.00017100308,-0.056283146,-1.0000000447034836,-0.9999999310821295,985.0
23000,1.6054851,0.00016500306,-0.056498624,-1.0000000447034836,-0.9999999310821295,985.0
24000,1.606154,0.00015900306,-0.05494099,-1.0000000447034836,-0.9999999310821295,985.0
25000,1.605619,0.00015300307,-0.06743806,-1.0000000447034836,-0.9999999310821295,985.0
26000,1.6056948,0.00014700307,-0.059913937,-1.0000000447034836,-0.9999999310821295,985.0
27000,1.6056653,0.00014100307,-0.04590918,-1.0000000447034836,-0.9999999310821295,985.0
28000,1.6059612,0.00013500307,-0.060281992,-1.0000000447034836,-0.9999999310821295,985.0
29000,1.6053225,0.00012900308,-0.050646983,-1.0000000447034836,-0.9999999310821295,985.0
30000,1.6058487,0.00012300308,-0.05461042,-1.0000000447034836,-0.9999999310821295,985.0
31000,1.6060908,0.000117003074,-0.047910295,-1.0000000447034836,-0.9999999310821295,985.0
