Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
4000,1.4157283,0.00029982004,-0.08117807,0.037248813,0.12382552,0.0010307446,0.06627233,0.07817931,0.30075404,3.2836418,0.499157,0.50194424,0.21185125,5.522000193595886,0.14295631274580956,2.1881039142608643,5.522000188939273,2482.0
6000,1.4134121,0.0002997,0.0034158502,0.049848095,0.21259788,0.002337501,0.06735628,0.050366662,0.320722,1.3552332,0.4628129,0.5231252,0.18949172,2.651313703507185,2.4362919167615473,10.211336448788643,2.651313682552427,1519.5
8000,1.4129258,0.00029958005,0.03127609,0.055582933,0.27012777,0.0027599928,0.06484226,0.008753056,0.3366462,1.2688081,0.43518114,0.5268712,0.1972278,2.009772088378668,0.7915951171889901,10.271599173545837,2.009772102581337,1671.0
10000,1.4112005,0.00029946002,0.052109007,0.056308072,0.34203008,0.002874197,0.072170176,0.011945431,0.30508456,1.2065878,0.41664952,0.5550837,0.21543851,-0.20540293430288634,0.07997609054048856,2.9928820145626864,-0.20540294252956906,576.3333333333334
12000,1.4107159,0.00029934003,0.07854098,0.05495003,0.36773372,0.0020491402,0.0628035,0.006694083,0.28892365,1.1306914,0.40036374,0.5674616,0.20061149,5.522000219672918,0.3783787228167057,14.541312754154205,5.522000188939273,2482.0
14000,1.4104831,0.00029922003,0.10497059,0.047543146,0.40807742,0.0012402177,0.06725259,0.0062496886,0.3132115,1.2276429,0.4289464,0.54783803,0.0,3.6329722069203854,0.4347500060684979,14.827336832880974,3.632972197374329,2439.0
16000,1.4105576,0.00029910004,0.073898956,0.039096713,0.43626156,0.0019312494,0.06704227,0.0073510124,0.27737883,1.1890824,0.41915855,0.5611224,0.0,-0.29730916395783424,0.07447680574841797,2.8717881962656975,-0.2973091545281932,540.5
18000,1.4088703,0.00029898004,0.07881912,0.03431236,0.43941674,0.0016721555,0.06747294,0.010116087,0.25371176,1.144089,0.41298646,0.5830295,0.0,2.3201260678470135,0.4058911844622344,7.6387464832514524,2.32012604852207,1369.5
20000,1.4063867,0.00029886002,0.08697597,0.030182404,0.4658556,0.0048557064,0.07061883,0.013535814,0.26586714,1.1664759,0.42456818,0.5829178,0.0,-0.7114000655710697,0.2316666515544057,2.182299166917801,-0.7114000791916624,337.5
22000,1.4054139,0.00029874002,0.098062046,0.03013662,0.4957111,0.0012757591,0.06404305,0.010146009,0.22986428,1.1872507,0.42567533,0.57006943,0.0,5.522000219672918,0.549630387686193,16.340405613183975,5.522000188939273,2482.0
24000,1.4021443,0.00029862006,0.096704684,0.03431443,0.5362816,0.0013120758,0.064437665,0.015044322,0.24113731,1.1964,0.42707235,0.57479656,0.0,5.522000219672918,0.7533270008862019,14.856285274028778,5.522000188939273,2482.0
26000,1.3994498,0.00029850006,0.12447176,0.02739736,0.5181949,0.00025498206,0.078250594,0.020169698,0.24349253,1.1954942,0.42681032,0.5783249,0.0,5.522000219672918,1.0253625083714724,13.871765166521072,5.522000188939273,2482.0
28000,1.3990532,0.00029838004,0.12320186,0.027494878,0.52771664,0.0014792087,0.07100703,0.025081221,0.2363836,1.1412277,0.41563502,0.589042,0.0,None,None,None,None,None
30000,1.3970717,0.00029826004,0.105556905,0.034544308,0.56979644,0.0020271996,0.06998452,0.023596536,0.21526615,1.2399766,0.45420295,0.5657931,0.0,5.522000219672918,1.2722186613827944,15.501338124275208,5.522000188939273,2482.0
32000,1.3964121,0.00029814005,0.12373385,0.048486423,0.6037504,None,None,None,None,None,None,None,None,5.522000219672918,1.3917680718004704,17.964182198047638,5.522000188939273,2482.0
34000,1.394353,0.00029802002,0.12466987,0.046528354,0.6455463,0.0013053895,0.06817231,0.025340129,0.19395533,1.265682,0.46918702,0.561217,0.0,2.280449314042926,1.4484461769461632,9.95775905251503,2.2804492986761034,1360.5
36000,1.3933911,0.00029790006,0.16397846,0.050458834,0.6079553,0.0029252232,0.075104356,0.038992755,0.20378546,1.1538512,0.41889983,0.6046051,0.0,-0.26250249426811934,0.4314085878431797,4.318843722343445,-0.262502497935202,556.75
38000,1.3950809,0.00029778003,0.07543804,0.04275564,0.64539886,0.007085996,0.07206213,0.03030895,0.12328647,1.0676492,0.3739079,0.61464065,0.0,-0.4971129549667239,0.4079003492370248,2.004942364990711,-0.4971129587502219,454.0
40000,1.3965459,0.00029766007,-0.045426793,0.05473367,0.69872123,0.0044826106,0.06476151,0.031088289,0.16323806,0.96636105,0.3175993,0.63491493,0.0,None,None,None,None,None
