Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
4000,1.4110599,0.00029982004,-0.057599038,0.049319524,0.14801472,0.0011301811,0.073777415,0.076892935,0.3065137,3.2721586,0.49053255,0.52410954,0.24961634,-5.522000193595886,0.11240170709788799,1.7983392477035522,-5.522000188939273,2482.0
6000,1.4083081,0.0002997,-0.0879243,0.051683757,0.2078471,0.0016347651,0.07754096,0.017664308,0.254093,1.2653893,0.45015174,0.55439365,0.2134647,-2.651313703507185,0.8669463964179158,10.365913197398186,-2.651313682552427,1519.5
8000,1.4064145,0.00029958005,-0.08768595,0.048616026,0.2729318,0.002684959,0.06949073,0.014240405,0.29776737,1.2958065,0.4630228,0.5338672,0.18345356,-2.009772088378668,0.7853408977389336,11.329673886299133,-2.009772102581337,1671.0
10000,1.4038692,0.00029946002,-0.07961914,0.04321443,0.35222313,0.0026272344,0.07319126,0.009581648,0.28438452,1.2800325,0.4476239,0.5221631,0.18074484,0.20540293430288634,0.11001401053120692,3.5735513294736543,0.20540294252956906,576.3333333333334
12000,1.4018619,0.00029934003,-0.122320294,0.041390948,0.37364477,0.0020331678,0.07618201,0.012191127,0.30702493,1.2729114,0.44775063,0.52957124,0.19088903,-5.522000219672918,1.1892320346087217,16.898024022579193,-5.522000188939273,2482.0
14000,1.4025223,0.00029922003,-0.1179474,0.03939243,0.41985998,0.0011162795,0.06736398,0.009370514,0.27107504,1.2722929,0.4523858,0.5357765,0.0,-3.6329722069203854,0.512619482818991,15.766500100493431,-3.632972197374329,2439.0
16000,1.4027876,0.00029910004,-0.11750026,0.035924423,0.45785213,0.0021656216,0.07614617,0.010824402,0.25574026,1.2522589,0.44240832,0.5503433,0.0,0.29730916395783424,0.12279855506494641,3.3690598495304585,0.2973091545281932,540.5
18000,1.3997576,0.00029898004,-0.109796666,0.03282137,0.46732903,0.0018508562,0.06855698,0.0148197515,0.2570517,1.251323,0.4441,0.5455187,0.0,-2.3201260678470135,0.4482570602558553,8.039179975166917,-2.32012604852207,1369.5
20000,1.3957683,0.00029886002,-0.119990766,0.034289986,0.47886187,0.0038882464,0.06815775,0.009942748,0.26337996,1.1555812,0.4138903,0.5814655,0.0,0.7114000655710697,0.07278055185452104,1.8751027137041092,0.7114000791916624,337.5
22000,1.3935946,0.00029874002,-0.12349344,0.031660844,0.5050757,0.0013624448,0.06937087,0.013203612,0.22414789,1.2517321,0.44609347,0.55501497,0.0,-5.522000219672918,0.712808832526207,16.687352538108826,-5.522000188939273,2482.0
24000,1.3938266,0.00029862006,-0.14134708,0.036859207,0.5320349,0.0011897788,0.06590563,0.014386939,0.20274654,1.2517128,0.44462687,0.55168754,0.0,-5.522000219672918,0.6760414987802505,15.432189702987671,-5.522000188939273,2482.0
26000,1.3934695,0.00029850006,-0.15455984,0.040309634,0.5522046,0.0001508097,0.06985992,0.016677825,0.22540256,1.2514162,0.4524513,0.5574681,0.0,-5.522000219672918,0.9822324067354202,15.379203826189041,-5.522000188939273,2482.0
28000,1.3921038,0.00029838004,-0.15938084,0.042625558,0.5589055,0.0011823212,0.06206002,0.02089737,0.21203685,1.2997699,0.4744603,0.5427249,0.0,None,None,None,None,None
30000,1.3957554,0.00029826004,-0.18521252,0.04001867,0.57932466,0.0010204442,0.069080755,0.03240729,0.17508996,1.2728939,0.46881753,0.54916537,0.0,-5.522000219672918,1.1879406496882439,17.775841236114502,-5.522000188939273,2482.0
32000,1.3992503,0.00029814005,-0.18943417,0.03669355,0.5835324,None,None,None,None,None,None,None,None,-5.522000219672918,1.4748148806393147,15.966032236814499,-5.522000188939273,2482.0
34000,1.4037087,0.00029802002,-0.20242886,0.048764955,0.592939,0.0009810261,0.06895145,0.028954625,0.16743802,1.2411592,0.4488833,0.5597787,0.0,-2.280449314042926,1.327965995296836,8.349049463868141,-2.2804492986761034,1360.5
36000,1.402537,0.00029790006,-0.15545101,0.05025772,0.5931031,0.0021352486,0.06927397,0.02772205,0.18095374,1.2641507,0.45287722,0.5523336,0.0,0.26250249426811934,0.7174868760630488,3.403319325298071,0.262502497935202,556.75
38000,1.401855,0.00029778003,-0.08638426,0.0380495,0.55632573,0.008166176,0.07657774,0.03691766,0.2185922,1.1699721,0.43427357,0.59488577,0.0,0.4971129549667239,0.5877003585919738,3.0061443112790585,0.4971129587502219,454.0
40000,1.4017022,0.00029766007,-0.14751163,0.051959325,0.57737535,0.00469474,0.0749595,0.019408692,0.2241592,1.1485573,0.41380197,0.59070677,0.0,None,None,None,None,None
42000,1.3994644,0.00029754004,-0.13972032,0.05182756,0.5941074,0.0012282612,0.06653155,0.032865416,0.1715463,1.2417052,0.4450921,0.5607098,0.0,-3.3976941220462322,1.3176550446078181,12.517984338104725,-3.3976941248402,1894.5
44000,1.3993535,0.00029742002,-0.11828227,0.05402962,0.5859136,0.0028364141,0.07992155,0.02416484,0.18422182,1.1715794,0.41650495,0.5748971,0.0,-0.5536785684525967,0.6460436023771763,5.514912888407707,-0.5536785635631531,959.0
46000,1.402021,0.00029730005,-0.10705854,0.05514977,0.5910062,0.0030578165,0.07064124,0.02888304,0.18037336,1.1782765,0.416229,0.57848597,0.0,0.14713840559124947,0.3192712771706283,3.3797533065080643,0.14713841280899942,619.5
