Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
4000,1.4151956,0.00029820032,0.10154616,-0.0054848874,-0.011716517,0.0012747686,0.06253353,0.078530565,0.32314327,3.7870295,0.47059268,0.52462626,0.22610989,5.522000193595886,0.25267386995255947,1.1717280745506287,5.522000188939273,2482.0
6000,1.4138433,0.00029700028,0.10703899,0.004196731,0.048023444,0.0027507315,0.067694455,0.033268988,0.3011557,1.2820547,0.43789536,0.5348412,0.20372796,1.7590083442628384,1.7844408750534058,9.7907013297081,1.75900832680054,1552.0
8000,1.412804,0.00029580033,0.12938271,0.027135462,0.1556961,0.00040370817,0.06513351,0.014508432,0.31101382,1.2021897,0.41385156,0.5447306,0.20001712,2.749592449516058,1.1608406263403594,9.444308243691921,2.749592444160953,1564.0
10000,1.4134678,0.00029460032,0.17789307,0.03463778,0.23142616,0.002321424,0.0702997,0.021700324,0.29993406,1.2088451,0.4275474,0.54335415,0.18746531,2.3200122229754925,0.8329137007240206,9.676519765518606,2.3200122165726498,1370.0
12000,1.4134657,0.0002934003,0.15832809,0.037967842,0.25472632,0.002103466,0.066740975,0.010271104,0.32228512,1.2849815,0.44961548,0.5333947,0.19133703,-4.060727523639798,1.6100437995046377,7.339305512607098,-4.0607275096699595,949.5
14000,1.4127778,0.00029220033,0.18844225,0.036027797,0.30773532,0.13027743,0.067281425,0.030978791,0.29134375,1.1733844,0.42514104,0.57384706,0.0,None,None,None,None,None
16000,1.4134107,0.0002910003,0.18380912,0.03854791,0.33363116,0.0012136063,0.07448181,0.011784634,0.26488882,1.0923194,0.39796653,0.58159137,0.0,5.522000219672918,0.6587167708203197,16.266330987215042,5.522000188939273,2482.0
18000,1.4132702,0.00028980034,0.18136996,0.037595034,0.39509368,0.0015151091,0.07098734,0.012276834,0.29634634,1.1512182,0.41405234,0.5692441,0.0,2.918880771845579,0.5451014284044504,10.120945379137993,2.9188807477476075,1636.0
20000,1.4125254,0.00028860033,0.19472225,0.041615233,0.38092458,0.0028619873,0.067331046,0.010512402,0.25575033,1.0893188,0.4014759,0.5831849,0.0,-0.33422616496682167,0.14015942998230457,3.0405836701393127,-0.33422618731856346,478.0
22000,1.4133409,0.0002874003,0.17715582,0.041009422,0.42440176,0.0012664741,0.07288536,0.016075829,0.27071434,1.0752938,0.38016835,0.58751935,0.0,3.1445691995322704,0.5746325617656112,9.782978732138872,3.1445691952249035,1758.0
