Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
4000,1.4125173,0.00029820032,0.083608665,0.009482325,-0.020039843,0.0013008232,0.05973661,0.082623936,0.33276808,3.8010228,0.47345656,0.5258899,0.19668636,-5.522000193595886,0.13388008251786232,2.2400529980659485,-5.522000188939273,2482.0
6000,1.4071597,0.00029700028,0.031509727,0.012563299,0.05252335,0.0028744913,0.078170255,0.018237242,0.3245073,1.3356888,0.456009,0.5184601,0.16450132,-1.7590083442628384,0.9121684581041336,10.84137199819088,-1.75900832680054,1552.0
8000,1.4049766,0.00029580033,0.003967893,0.016310293,0.14424588,0.00029109983,0.07156035,0.005387931,0.31413364,1.2070369,0.42688254,0.540596,0.1746462,-2.749592449516058,0.20643333089537919,9.088030653074384,-2.749592444160953,1564.0
10000,1.4045881,0.00029460032,-0.038951125,0.032652676,0.17588031,0.002346276,0.073202714,0.0076802694,0.2942165,1.2510998,0.43601298,0.5320124,0.16987848,-2.3200122229754925,2.2414112496189773,9.989730048924685,-2.3200122165726498,1370.0
12000,1.404236,0.0002934003,-0.05067472,0.03306752,0.2348451,0.002172654,0.06823183,0.020523615,0.3176546,1.2789791,0.45356727,0.52833235,0.16791499,4.060727523639798,0.4084329791367054,5.712155571207404,4.0607275096699595,949.5
14000,1.4025613,0.00029220033,-0.11440434,0.09858307,0.29440597,0.12938239,0.073676646,0.014216098,0.26472974,1.226292,0.44407922,0.55083793,0.0,None,None,None,None,None
16000,1.4003711,0.0002910003,-0.0970072,0.08637101,0.34270632,0.0017429157,0.07840933,0.021129422,0.24237874,1.121564,0.40743682,0.5943568,0.0,-5.522000219672918,1.424143809825182,20.101798057556152,-5.522000188939273,2482.0
18000,1.4012034,0.00028980034,-0.080762625,0.055341493,0.41281858,0.0021508546,0.06957722,0.010632942,0.27274042,1.3038666,0.45781523,0.54061365,0.0,-2.918880771845579,0.5579727073200047,14.566615752875805,-2.9188807477476075,1636.0
20000,1.4036933,0.00028860033,-0.1298605,0.055264108,0.44668463,0.0025407623,0.068687074,0.011720307,0.2986165,1.292237,0.46184614,0.5332452,0.0,0.33422616496682167,0.11132129188627005,4.185259461402893,0.33422618731856346,478.0
22000,1.4043796,0.0002874003,-0.12181675,0.047480445,0.4464915,0.001029233,0.06772993,0.014337599,0.17873725,1.0806564,0.3991122,0.5845158,0.0,-3.1445691995322704,0.6172111919149756,9.19427266344428,-3.1445691952249035,1758.0
