Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4189383,0.00029940033,-0.23660791,-0.17754336,-0.15663558,0.9271979928016663,0.0,0.0,0.9271979676559567,1172.0
4000,1.4149097,0.00029820032,-0.15789257,-0.20189479,-0.1446493,5.522000219672918,3.9565154314041138,10.328446567058563,5.522000188939273,2482.0
6000,1.4119636,0.00029700028,-0.10593664,-0.15742043,-0.05835638,None,None,None,None,None
8000,1.4079397,0.00029580033,-0.050626267,-0.122660615,0.031597394,5.522000219672918,2.7088876105844975,15.166458427906036,5.522000188939273,2482.0
10000,1.4059675,0.00029460032,-0.016744133,-0.09968632,0.104976594,2.466887053102255,0.5288081471808255,8.239204406738281,2.4668870290042832,1445.5
12000,1.4040674,0.0002934003,-0.034248516,-0.049884953,0.23887551,-0.49957373800377053,0.6793113527819514,3.2029473185539246,-0.49957374409617233,466.1666666666667
14000,1.3998789,0.00029220033,-0.023124091,-0.050686073,0.24275377,0.6940405033528805,0.5553931193426251,6.0585203766822815,0.6940404651686549,990.0
16000,1.3951756,0.0002910003,-0.09323657,0.0032673269,0.3528635,-0.5514059402048588,0.4936123490333557,2.783995382487774,-0.5514059537090361,408.0
18000,1.3919305,0.00028980034,-0.058098745,0.003080274,0.37848464,5.522000219672918,0.5070051006041467,16.813221663236618,5.522000188939273,2482.0
20000,1.3905649,0.00028860033,0.00041147368,0.009758753,0.4138332,1.6436172388494015,0.5435208585113287,8.188908159732819,1.643617192748934,1500.0
22000,1.3903323,0.0002874003,0.0504981,0.0197277,0.44522634,5.522000219672918,0.6429058564826846,15.472068727016449,5.522000188939273,2482.0
24000,1.38888,0.00028620035,0.06892045,0.022186998,0.47664946,5.522000219672918,0.7342831995338202,15.62560984492302,5.522000188939273,2482.0
26000,1.385577,0.00028500034,0.094163805,0.02410686,0.4891502,None,None,None,None,None
28000,1.3849263,0.0002838003,0.09318251,0.036378555,0.51017684,1.090580364689231,0.5290834759362042,5.913120759651065,1.0905803620116785,996.75
30000,1.3858173,0.00028260035,0.06666111,0.03204554,0.5097273,-0.3588618077337742,0.5822349699834982,2.5301619867483773,-0.35886181192472577,495.6666666666667
32000,1.387862,0.0002814003,0.05949418,0.047520775,0.53643733,0.689610730856657,0.4260662905871868,6.453749373555183,0.6896107476204634,1009.5
34000,1.3882705,0.0002802003,0.069907494,0.04945162,0.56836563,5.522000219672918,1.053207814693451,15.342356830835342,5.522000188939273,2482.0
36000,1.3845266,0.00027900035,0.06535849,0.05903597,0.5857342,-0.13482137769460678,0.9108383916318417,4.970649152994156,-0.13482138607650995,646.0
38000,1.3832364,0.0002778003,0.10659242,0.06206253,0.5742887,None,None,None,None,None
40000,1.3829873,0.0002766003,0.09807704,0.059160624,0.5806812,1.3594658747315407,0.7577758841216564,7.490095568199952,1.359465856027479,1044.0
42000,1.3799334,0.00027540035,0.085856706,0.056025386,0.6339382,3.1214617751538754,1.7944014742970467,16.058128595352173,3.121461746515706,2235.0
44000,1.3779913,0.0002742003,0.10026665,0.05990629,0.59683394,0.8436219654977322,0.9927486516535282,6.604935795068741,0.8436219410505146,1106.0
46000,1.3773615,0.0002730003,0.1259388,0.06127827,0.63134336,5.522000219672918,1.8817786201834679,15.544291257858276,5.522000188939273,2482.0
48000,1.3788769,0.00027180035,0.13941158,0.06315951,0.6311052,5.522000219672918,1.475076176226139,13.677073061466217,5.522000188939273,2482.0
50000,1.3800378,0.0002706003,0.15060364,0.06260456,0.61162114,5.522000219672918,1.3934447057545185,12.803876996040344,5.522000188939273,2482.0
52000,1.3808182,0.00026940033,0.14179996,0.055093024,0.62610257,-0.9365725517272949,0.2515896111726761,1.547480821609497,-0.9365725517272949,239.0
54000,1.3830674,0.00026820033,0.13024986,0.059069436,0.6780304,1.2965617552399635,1.2315320624038577,6.432460921506087,1.2965617456939071,1036.6666666666667
56000,1.3852952,0.00026700032,0.15905382,0.06094796,0.60959077,2.2648403476923704,0.865467730909586,8.468341812491417,2.264840332325548,1360.5
58000,1.3863425,0.00026580034,0.15233478,0.06410748,0.6281619,-0.776336494833231,0.2685735169798136,1.9895453974604607,-0.7763364748097956,265.0
60000,1.3878757,0.00026460033,0.16329074,0.06685762,0.622271,2.3193040005862713,0.8910058224573731,8.27263904362917,2.3193039725301787,1383.0
62000,1.3898275,0.00026340032,0.2028115,0.05901766,0.63096553,5.522000219672918,1.776429869234562,18.743398159742355,5.522000188939273,2482.0
64000,1.3899394,0.00026220037,0.21273059,0.060489185,0.6915945,5.522000219672918,2.241533473134041,17.301471441984177,5.522000188939273,2482.0
66000,1.3929436,0.00026100033,0.1245977,0.056417186,0.61825645,-0.7877159391840299,0.2832988904168208,3.131972930083672,-0.7877159364288673,299.0
68000,1.3945696,0.00025980032,0.1182604,0.075632006,0.65538937,-0.9465113083521525,0.593909020225207,1.104400595029195,-0.9465113083521525,239.0
70000,1.3962938,0.0002586003,0.12134752,0.07996297,0.6759614,2.266995830461383,1.22529580257833,9.588191702961922,2.2669958150945604,1360.5
72000,1.3994507,0.00025740033,0.13005134,0.06814565,0.6925676,5.522000219672918,1.4951911196112633,14.352458775043488,5.522000188939273,2482.0
74000,1.4031286,0.00025620032,0.15037322,0.075372085,0.67307734,None,None,None,None,None
76000,1.4036541,0.00025500034,0.17551705,0.085239075,0.7651917,5.522000219672918,2.3918486163020134,25.081462621688843,5.522000188939273,2482.0
78000,1.4037077,0.00025380033,0.13671207,0.0850384,0.7249101,2.9080797843635082,1.2800820581614971,12.366400815546513,2.908079782151617,1638.0
80000,1.4025373,0.00025260032,0.16978532,0.069199786,0.7242514,None,None,None,None,None
82000,1.4008936,0.00025140034,0.09902,0.0777192,0.73484814,1.266579695045948,1.198458757251501,8.198752701282501,1.2665796799895663,1023.3333333333334
84000,1.4007534,0.00025020033,0.12327346,0.06696573,0.70972455,5.522000219672918,1.8285771757364273,15.252438187599182,5.522000188939273,2482.0
86000,1.4015715,0.00024900035,0.20725507,0.0845281,0.74030566,5.522000219672918,2.5092609375715256,22.423777222633362,5.522000188939273,2482.0
88000,1.4012626,0.00024780034,0.16170315,0.08020312,0.70029336,1.0626426599919796,1.1422423794865608,8.20439201593399,1.0626426392700523,1217.0
90000,1.4004563,0.00024660034,0.14164908,0.08192018,0.6833376,0.41614269837737083,0.7098089270293713,6.049756606419881,0.41614270008479554,872.3333333333334
92000,1.4011163,0.00024540033,0.16833377,0.10487619,0.7565178,None,None,None,None,None
94000,1.4010949,0.00024420035,0.160613,0.10035871,0.76295906,5.522000219672918,2.113464917987585,20.12342993915081,5.522000188939273,2482.0
96000,1.3992594,0.00024300034,0.1732006,0.095570035,0.7321706,5.522000219672918,1.8025854267179966,11.326794758439064,5.522000188939273,2482.0
98000,1.3996309,0.00024180034,0.17227846,0.09053889,0.706566,2.3063657097518444,0.8950021928176284,6.2298740074038506,2.306365687516518,1374.0
100000,1.400581,0.00024060035,0.19855697,0.086868644,0.6519462,5.522000219672918,1.5046152174472809,9.190223053097725,5.522000188939273,2482.0
102000,1.4000752,0.00023940034,0.08406172,0.088983916,0.7429391,0.46964220330119133,1.1910106912255287,16.899448662996292,0.46964219107758254,871.0
104000,1.3988608,0.00023820036,0.09797048,0.115280844,0.8169402,None,None,None,None,None
106000,1.3992995,0.00023700035,0.09022697,0.09584085,0.82773584,3.31431769952178,2.0153099317103624,16.803671568632126,3.314317698357627,1832.0
108000,1.3978701,0.00023580034,0.16512102,0.13034356,0.7295919,5.522000219672918,3.568016894161701,22.98318326473236,5.522000188939273,2482.0
110000,1.3981566,0.00023460033,0.15998007,0.10925172,0.7345488,-0.9240795392543077,0.577722521033138,1.2119660377502441,-0.9240795256919228,256.75
112000,1.3986382,0.00023340035,0.16800448,0.1359159,0.73195875,5.522000219672918,2.0824223086237907,10.40054789185524,5.522000188939273,2482.0
114000,1.3976942,0.00023220036,0.10714968,0.13113585,0.70503134,5.522000219672918,3.3906520381569862,16.23918943107128,5.522000188939273,2482.0
116000,1.398401,0.00023100035,0.09054898,0.12800728,0.77406424,None,None,None,None,None
118000,1.3988566,0.00022980035,0.11096137,0.12628484,0.7228167,1.8971286875506241,1.2911559473723173,7.828046818574269,1.8971286872401834,1294.0
120000,1.39946,0.00022860036,0.11327817,0.12406746,0.7569285,None,None,None,None,None
122000,1.400178,0.00022740035,0.123045556,0.113274306,0.64982593,5.522000219672918,2.563208933919668,15.263934910297394,5.522000188939273,2482.0
124000,1.4007727,0.00022620034,0.12179338,0.110142276,0.5848272,2.2764685582369566,2.0034533655270934,13.077909886837006,2.276468542870134,1360.5
126000,1.4016551,0.00022500035,0.13467106,0.119299166,0.6303092,2.4389174692332745,1.578913863748312,9.53674303740263,2.4389174326788634,1411.5
128000,1.4019005,0.00022380035,0.12079502,0.105544865,0.70619655,None,None,None,None,None
130000,1.4005144,0.00022260034,0.11648114,0.09880282,0.7190024,2.3891090266406536,1.73573999106884,11.548402428627014,2.3891090225661173,1392.0
132000,1.3989965,0.00022140035,0.1969045,0.107732736,0.65599406,5.522000219672918,2.3295856527984142,15.142952620983124,5.522000188939273,2482.0
134000,1.4002669,0.00022020037,0.2034845,0.106850185,0.63355285,2.3220419697463512,1.2356679290533066,7.699400655925274,2.3220419485587627,1377.5
136000,1.3973788,0.00021900036,0.113054454,0.086853296,0.7287502,-0.8675068654119968,0.28692926093935966,2.378711298108101,-0.8675068591255695,276.0
138000,1.3976936,0.00021780035,0.16060114,0.10574403,0.6765828,5.522000219672918,2.156200934201479,19.051258623600006,5.522000188939273,2482.0
