Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4189383,0.00029940033,-0.23194256,-0.1774161,-0.15819302,-0.9271979928016663,0.0,0.0,-0.9271979676559567,1172.0
4000,1.4122484,0.00029820032,-0.22644791,-0.15102658,-0.14267567,-5.522000219672918,2.1765142306685448,10.02032420039177,-5.522000188939273,2482.0
6000,1.4098951,0.00029700028,-0.22468092,-0.12873168,-0.037501488,None,None,None,None,None
8000,1.4042768,0.00029580033,-0.22135448,-0.11385163,0.060268655,-5.522000219672918,0.764354856684804,16.290522158145905,-5.522000188939273,2482.0
10000,1.4042876,0.00029460032,-0.20466666,-0.09171599,0.14704609,-2.466887053102255,0.5189156606793404,9.13474179059267,-2.4668870290042832,1445.5
12000,1.4036071,0.0002934003,-0.120490655,-0.020901715,0.27360958,0.49957373800377053,2.1529271599526205,3.6053195546070733,0.49957374409617233,466.1666666666667
14000,1.4036666,0.00029220033,-0.17933348,-0.028185472,0.26865172,-0.6940405033528805,0.38442689552903175,6.937223315238953,-0.6940404651686549,990.0
16000,1.4046367,0.0002910003,-0.10426733,-0.013165478,0.37338808,0.5514059402048588,0.07773781195282936,3.049612671136856,0.5514059537090361,408.0
18000,1.4054352,0.00028980034,-0.10337647,-0.018226594,0.41789436,-5.522000219672918,0.46964017674326897,17.776039332151413,-5.522000188939273,2482.0
20000,1.4064136,0.00028860033,-0.1000755,-0.01693781,0.46250343,-1.6436172388494015,0.40367787331342697,10.276416420936584,-1.643617192748934,1500.0
22000,1.4071295,0.0002874003,-0.10311536,-0.019060403,0.5031104,-5.522000219672918,0.7694130055606365,17.31744208931923,-5.522000188939273,2482.0
24000,1.4051521,0.00028620035,-0.12972951,-0.016189964,0.52635753,-5.522000219672918,0.6425923854112625,15.610913217067719,-5.522000188939273,2482.0
26000,1.4022404,0.00028500034,-0.13977176,-0.009443639,0.5281664,None,None,None,None,None
28000,1.4035481,0.0002838003,-0.12332118,0.0017648756,0.6292184,-1.090580364689231,0.32136521581560373,7.1534442361444235,-1.0905803620116785,996.75
30000,1.4046147,0.00028260035,-0.09912457,0.01159483,0.62619793,0.3588618077337742,0.10219949871922533,3.476738820473353,0.35886181192472577,495.6666666666667
32000,1.4032861,0.0002814003,-0.055989627,0.0139305005,0.6249951,-0.689610730856657,0.2652948731556535,6.705103874206543,-0.6896107476204634,1009.5
34000,1.4053192,0.0002802003,-0.072551645,0.03281883,0.62941027,-5.522000219672918,1.0435459821019322,17.328391790390015,-5.522000188939273,2482.0
36000,1.4058776,0.00027900035,-0.07518271,0.025135629,0.6454219,0.13482137769460678,0.21160655096173286,4.439227342605591,0.13482138607650995,646.0
38000,1.4059231,0.0002778003,-0.055271495,0.045442075,0.6242533,None,None,None,None,None
40000,1.4079897,0.0002766003,-0.056627125,0.04572466,0.6500031,-1.3594658747315407,0.536814916258057,7.156475116809209,-1.359465856027479,1044.0
42000,1.4099978,0.00027540035,-0.058289785,0.048813306,0.6353798,-3.1214617751538754,1.6469929609447718,14.349441051483154,-3.121461746515706,2235.0
44000,1.4118342,0.0002742003,-0.06130842,0.05922363,0.6414765,-0.8436219654977322,0.7674116436392069,8.135306537151337,-0.8436219410505146,1106.0
46000,1.4114225,0.0002730003,-0.060059674,0.06296249,0.6592343,-5.522000219672918,1.6851134076714516,18.393226951360703,-5.522000188939273,2482.0
48000,1.4109641,0.00027180035,-0.07632519,0.06337014,0.6561341,-5.522000219672918,1.5086838603019714,15.237387865781784,-5.522000188939273,2482.0
50000,1.40959,0.0002706003,-0.0910621,0.06662809,0.6536751,-5.522000219672918,1.6745505705475807,15.486452877521515,-5.522000188939273,2482.0
52000,1.4070584,0.00026940033,-0.063166216,0.073895246,0.80901754,0.9365725517272949,0.2421392872929573,2.321306049823761,0.9365725517272949,239.0
54000,1.4049954,0.00026820033,-0.01458469,0.07877616,0.7883754,-1.2965617552399635,1.2425245974833767,7.417203436295192,-1.2965617456939071,1036.6666666666667
56000,1.4035469,0.00026700032,-0.053665258,0.08499861,0.7929869,-2.2648403476923704,1.7165163196623325,6.392388209700584,-2.264840332325548,1360.5
