Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.3970971,9.130238e-05,-0.08603847,0.059225902,0.49576312,0.8927485663443804,0.0,0.0,0.8927485692547634,251.5
4000,1.396853,9.010238e-05,-0.07119372,0.055386752,0.42268702,-0.77286705840379,0.2850607316941023,1.4893434531986713,-0.7728670427459292,838.0
6000,1.3966297,8.890239e-05,-0.07075188,0.06755668,0.48416176,0.6800750531256199,0.0805169977247715,2.071259170770645,0.6800750263500959,316.0
8000,1.3964883,8.7702385e-05,-0.07400392,0.06931484,0.4540864,-2.3474668990820646,0.9438702501356602,6.809736654162407,-2.347466896637343,1361.5
10000,1.3964156,8.650238e-05,-0.10480867,0.070693605,0.46933025,-5.522000219672918,1.59150942414999,10.550973996520042,-5.522000188939273,2482.0
12000,1.3964448,8.530238e-05,-0.12659149,0.06966402,0.41929537,-5.522000219672918,1.4331368803977966,10.146601393818855,-5.522000188939273,2482.0
14000,1.3965315,8.410238e-05,-0.1164006,0.062031988,0.41382635,None,None,None,None,None
16000,1.396734,8.290238e-05,-0.11960516,0.059968814,0.41276604,-1.8728507533669472,0.7256934978067875,5.0501768887043,-1.8728507466148585,1300.0
18000,1.3967944,8.170238e-05,-0.10084087,0.05999171,0.42945245,0.3534989692270756,0.18066577427089214,2.8220679461956024,0.353498982032761,453.0
20000,1.3968347,8.0502374e-05,-0.08611649,0.061113156,0.404343,-2.267501248046756,1.0365148708224297,5.432988062500954,-2.2675012326799333,1360.5
22000,1.397021,7.930239e-05,-0.117610596,0.059699494,0.39797693,0.25544157810509205,0.23583909682929516,2.235771209001541,0.25544157659169286,535.0
24000,1.3970293,7.8102385e-05,-0.11661091,0.05638019,0.42071596,-1.458455787350734,0.5595611548051238,4.750044812758763,-1.458455763446788,1056.0
