Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
4000,1.4868367,7.4890915e-05,0.02107793,0.111803465,0.6632265,0.00050244917,0.07687143,0.009729886,0.19810894,0.90734816,0.29232347,0.67412424,0.3790701,2.3216349482536316,0.21564666414633393,1.1107692942023277,2.321634943014942,1365.5
6000,1.487321,7.477091e-05,0.077906296,0.105981596,0.6766621,0.002437429,0.07218386,0.024461368,0.16456279,0.8069661,0.283822,0.70241463,0.0,1.2750591114163399,0.9782302913566431,7.202621211608251,1.2750591021807243,1014.6666666666666
8000,1.4876062,7.465091e-05,0.07976083,0.09356734,0.59379315,0.0033852807,0.07183482,0.039415713,0.12776437,0.9752369,0.36236304,0.6628299,0.0,None,None,None,None,None
10000,1.4881904,7.4530915e-05,0.26382563,0.10668877,0.7223792,0.0015658106,0.07008689,0.026235659,0.14528698,0.93742114,0.31897843,0.6499623,0.0,5.522000219672918,1.4666558178141713,13.276870876550674,5.522000188939273,2482.0
12000,1.4884714,7.441091e-05,0.17075315,0.111744404,0.7279606,0.015761886,0.06636295,0.021205125,0.16485026,0.5980722,0.13387792,0.7616687,0.0,2.3356885742396116,1.291757371276617,33.82497074641287,2.335688560968265,1368.0
14000,1.4887366,7.429091e-05,0.18731278,0.119629055,0.8461136,0.0044348007,0.071264595,0.039119348,0.06895513,1.1633936,0.42374945,0.65099096,0.0,5.522000219672918,3.6592703610658646,34.745777636766434,5.522000188939273,2482.0
16000,1.4886132,7.4170915e-05,0.16576606,0.12168827,0.8359193,0.0017092706,0.06798318,0.055265,0.08633325,1.0208683,0.37244546,0.62792236,0.0,0.9473251681774855,1.4266589246690273,6.038136720657349,0.9473251834278926,1158.5
18000,1.4879069,7.405091e-05,0.11145359,0.12136521,0.8174479,0.0062367246,0.07188691,0.043259036,0.106356084,0.9018547,0.33302066,0.6746316,0.0,-0.9046561730404695,0.3119927756488323,1.1998754932234685,-0.9046561802582195,249.33333333333334
20000,1.4870787,7.393091e-05,0.20504706,0.11766812,0.8465862,0.001122884,0.066633396,0.0046631703,0.13165422,0.5233488,0.12428361,0.75606054,0.0,5.522000219672918,0.7235807422548532,11.536281675100327,5.522000188939273,2482.0
22000,1.4864337,7.381091e-05,0.268284,0.10110335,0.7453428,0.00066462124,0.06965581,0.035425413,0.1772649,0.7474867,0.26096272,0.75027764,0.0,2.2692631017416716,1.3330641612410545,16.143036670982838,2.269263086374849,1360.5
24000,1.4863614,7.369091e-05,0.107911475,0.12716231,0.8492824,0.004292109,0.07475959,0.042432442,0.08915222,1.0549772,0.37913874,0.66694814,0.0,0.2651012949645519,1.2265800759196281,10.157008051872253,0.26510127261281013,795.5
26000,1.4868789,7.35709e-05,0.28117794,0.102513656,0.7702507,0.0021595194,0.065777555,0.041735638,0.11970611,0.8388275,0.28854114,0.7014381,0.0,None,None,None,None,None
28000,1.4866589,7.345091e-05,0.2158625,0.10101336,0.7256229,0.003016454,0.066484466,0.031706877,0.15094899,0.8537628,0.27802587,0.7100177,0.0,2.411560457199812,1.3035241067409515,6.1516230925917625,2.411560426466167,1402.5
30000,1.4852316,7.3330906e-05,0.15072119,0.10498167,0.7870958,0.003393888,0.064796746,0.03051501,0.13037542,0.7507994,0.23052955,0.72902167,0.0,1.4883854165673256,0.8602048779527346,8.620084638396898,1.4883854064779978,1129.0
32000,1.4845834,7.321091e-05,0.25613776,0.09122127,0.72254574,0.00072903984,0.06487586,0.033515792,0.14083591,0.5055517,0.14881086,0.8049143,0.0,None,None,None,None,None
34000,1.4834778,7.309091e-05,0.23677287,0.08169926,0.55556995,None,None,None,None,None,None,None,None,5.522000219672918,2.0026568062603474,5.794941272586584,5.522000188939273,2482.0
36000,1.4835988,7.297091e-05,0.13850984,0.10239604,0.69396025,0.0018223387,0.06377941,0.030445239,0.16761497,0.68506247,0.25569138,0.7947486,0.0,0.862310266122222,0.9366987943649292,8.693422049283981,0.8623102612909861,891.25
38000,1.4832981,7.285091e-05,0.16543154,0.09350681,0.66075546,0.0067954436,0.07108102,0.04021123,0.118253075,0.9061782,0.29787928,0.71036625,0.0,-0.9696160554885864,0.314591720700264,2.43011736869812,-0.9696160554885864,239.0
40000,1.4825246,7.2730916e-05,0.1540145,0.09787808,0.7044915,0.00084525265,0.07287633,0.038439974,0.12665656,0.70850235,0.24762975,0.75529605,0.0,5.522000219672918,2.3152537643909454,9.374952629208565,5.522000188939273,2482.0
42000,1.4827476,7.2610914e-05,0.14684032,0.091830045,0.63001436,0.002242114,0.06959716,0.038567763,0.10934021,0.9108858,0.32445553,0.70161855,0.0,0.702799073420465,0.7820365484803915,5.115294508635998,0.7027990707429126,802.5
44000,1.4835718,7.249092e-05,0.08340354,0.111022964,0.7420449,0.0068004862,0.068149745,0.050901543,0.1141137,0.83063203,0.28250724,0.7261858,0.0,-0.7905438455442587,0.7970670585831007,1.755740185578664,-0.7905438374727964,295.0
46000,1.4842659,7.2370916e-05,0.19140485,0.08695848,0.550329,0.0013637316,0.06032291,0.036233395,0.13686517,0.7344052,0.25689796,0.7451664,0.0,5.522000219672918,1.936173353344202,9.590463250875473,5.522000188939273,2482.0
48000,1.4846203,7.2250914e-05,0.10806078,0.10603315,0.6965028,0.0032672137,0.067907795,0.03909177,0.085566685,1.046694,0.3736946,0.65141344,0.0,0.3241024576127529,1.1773815676569939,10.884823501110077,0.32410246110521257,860.0
50000,1.4855343,7.213091e-05,0.06703889,0.10387605,0.6839207,0.0061759143,0.062496968,0.03538412,0.121655524,0.7617623,0.21912527,0.71364915,0.0,0.49444305077195166,0.855223362147808,10.43978222683072,0.4944430375471711,749.8
52000,1.4870447,7.201091e-05,0.17411952,0.09287155,0.61744595,0.0037174504,0.07031314,0.04446111,0.07822416,1.0373443,0.38111514,0.6722965,0.0,None,None,None,None,None
54000,1.4875798,7.1890914e-05,0.0137812635,0.111182325,0.76112056,0.002044681,0.06837251,0.03365456,0.14219029,0.71307766,0.21520129,0.7257274,0.0,0.44973128139972685,0.692286615818739,3.493223486468196,0.44973128936253487,710.4
56000,1.4872297,7.177091e-05,0.06995633,0.107664004,0.6699451,0.003633665,0.07075056,0.047308914,0.069104336,1.0388895,0.3830542,0.6570312,0.0,1.1776004992425442,1.4045182038098574,14.815947562456131,1.1776004955172539,1287.0
58000,1.4873165,7.165092e-05,0.20929167,0.089382775,0.4884086,0.0008290138,0.07140805,0.024196051,0.15800372,0.42241526,0.08989136,0.7951063,0.0,5.522000219672918,2.0036064833402634,8.850343108177185,5.522000188939273,2482.0
60000,1.4870149,7.153091e-05,0.2505775,0.07665025,0.3963617,0.0005275794,0.064762086,0.029923001,0.14125606,0.53771347,0.17500389,0.82554877,0.0,5.522000219672918,1.7959891632199287,7.525110740214586,5.522000188939273,2482.0
62000,1.4852041,7.141091e-05,0.043080416,0.11786754,0.8289826,0.0051546074,0.07058133,0.039000105,0.12128,1.0539982,0.38668847,0.67672575,0.0,-0.8939455766230822,0.4665948674082756,2.4362960755825043,-0.8939455822110176,271.0
64000,1.4850638,7.129091e-05,0.21527955,0.08749605,0.4775061,0.0042917095,0.06474846,0.032485545,0.15422425,0.694811,0.17740898,0.7325577,0.0,5.522000219672918,1.8627975694835186,25.669389948248863,5.522000188939273,2482.0
66000,1.484854,7.1170914e-05,0.20262434,0.085682,0.52997196,0.00093743147,0.07098868,0.019998785,0.18175037,0.6670742,0.2137228,0.75476754,0.0,5.522000219672918,1.7215771041810513,5.26401524245739,5.522000188939273,2482.0
68000,1.48348,7.105091e-05,0.08538685,0.11009889,1.1190234,None,None,None,None,None,None,None,None,5.522000219672918,1.0190097317099571,21.418877005577087,5.522000188939273,2482.0
70000,1.4835474,7.093091e-05,0.2544423,0.07385036,0.39376125,0.0016392272,0.065076016,0.020609627,0.17005341,0.8939172,0.32374465,0.6892921,0.0,None,None,None,None,None
72000,1.4854951,7.0810915e-05,0.15460785,0.10589647,0.65732515,0.0037016792,0.07738816,0.03404889,0.16978848,0.7949481,0.30522555,0.75038135,0.0,2.272464944049716,1.7518511340022087,21.03150348365307,2.2724649286828935,1360.5
74000,1.4850727,7.069091e-05,0.1821704,0.10109229,0.6639251,0.0029845717,0.070416026,0.044169735,0.107199416,0.84543514,0.31978363,0.74830616,0.0,5.522000219672918,2.812855087220669,12.567479267716408,5.522000188939273,2482.0
76000,1.4842769,7.057092e-05,0.24470893,0.092733964,0.5933217,0.0018653944,0.07250495,0.035270303,0.13106427,1.0172671,0.36537725,0.6688082,0.0,2.3131501488387585,1.1492534652352333,10.560382552444935,2.313150131609291,1376.5
78000,1.4833971,7.045091e-05,0.02080646,0.13264045,0.8524459,0.004416055,0.06948872,0.031423397,0.13861616,0.7721903,0.24562268,0.7188028,0.0,-0.5847431141883135,0.5847783870995045,2.5942507460713387,-0.5847431171569042,407.25
80000,1.4827428,7.033091e-05,0.18443882,0.10237965,0.5949568,0.002370255,0.055425823,0.05819561,0.08614948,0.9540714,0.37331787,0.69591296,0.0,5.522000219672918,3.233063966035843,16.870313122868538,5.522000188939273,2482.0
82000,1.4823725,7.021092e-05,0.072823636,0.12191753,0.7653977,0.002075293,0.07604563,0.036990136,0.0997451,0.94830245,0.3269406,0.6618298,0.0,0.7895749770104885,1.7799574509263039,13.563473492860794,0.7895749837625772,1068.0
84000,1.4822582,7.0090915e-05,0.20477813,0.08809514,0.49126357,0.001165963,0.069816604,0.035208542,0.13625054,0.7497605,0.2612273,0.73235255,0.0,5.522000219672918,1.7377581521868706,7.278183311223984,5.522000188939273,2482.0
86000,1.4818313,6.997091e-05,0.2258055,0.08848514,0.44675308,0.00123229,0.068281196,0.03640545,0.14338104,0.7428363,0.25392982,0.7501291,0.0,None,None,None,None,None
88000,1.4812067,6.985091e-05,0.18215626,0.098700516,0.54572505,0.001630727,0.073757604,0.037981927,0.12838307,0.8425028,0.28714347,0.715844,0.0,5.522000219672918,2.0346551164984703,8.135373242199421,5.522000188939273,2482.0
90000,1.481068,6.973091e-05,0.08192799,0.103709444,0.6554606,0.0042987615,0.060112666,0.041279633,0.12364204,0.68363553,0.24025965,0.76067173,0.0,0.6847008680924773,0.8195144636556506,4.090157236903906,0.6847008594777435,804.25
92000,1.4814358,6.9610905e-05,-0.017395139,0.1199759,0.85664666,0.0012481993,0.069151916,0.029358646,0.1273043,1.0108377,0.34491417,0.6476213,0.0,5.522000219672918,2.110123984515667,35.31472831964493,5.522000188939273,2482.0
