Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
4000,0.7451389,7.4890915e-05,-0.085878775,0.012038872,0.6047851,0.0005453823,0.06821376,0.003980146,0.016304525,1.1531119,0.3693235,0.5880057,0.24481788,-2.3216349482536316,0.039790103561244905,2.6014481633901596,-2.321634943014942,1365.5
6000,0.74539673,7.477091e-05,-0.0719177,0.01254666,0.5670525,0.0025511296,0.07283388,0.005086358,0.027946651,1.1570858,0.39369056,0.59643364,0.0,-1.2750591114163399,0.12818267949235937,6.645049621661504,-1.2750591021807243,1014.6666666666666
8000,0.7465995,7.465091e-05,-0.16771457,0.011392525,0.59850866,0.0040112124,0.064417735,0.004348658,0.03465722,1.1342552,0.40709615,0.60225755,0.0,None,None,None,None,None
10000,0.7472613,7.4530915e-05,-0.15668555,0.012728983,0.5777631,0.0025448143,0.0752964,0.005608135,0.019162688,0.9335958,0.31157404,0.6740944,0.0,-5.522000219672918,0.4667234723456204,25.473514437675476,-5.522000188939273,2482.0
12000,0.7470934,7.441091e-05,-0.12441767,0.0137353735,0.62095284,0.00038327742,0.07464247,0.0043586767,0.006030752,0.9558977,0.32232997,0.65308684,0.0,-2.3356885742396116,0.1897312426008284,11.926590606570244,-2.335688560968265,1368.0
14000,0.7462144,7.429091e-05,-0.13366748,0.011924677,0.63437957,0.0025075176,0.06773804,0.005406277,0.026588893,1.1100776,0.3955582,0.619692,0.0,-5.522000219672918,0.257235508877784,15.756432741880417,-5.522000188939273,2482.0
16000,0.7454726,7.4170915e-05,-0.18644637,0.014265475,0.7596613,0.0013392197,0.0698893,0.003669296,0.015794586,0.84167767,0.28386244,0.6850831,0.0,-0.9473251681774855,0.18105011188890785,4.337540965527296,-0.9473251834278926,1158.5
18000,0.7453461,7.405091e-05,-0.05332747,0.01639183,0.6476628,0.006329359,0.06634921,0.004127008,0.05423237,0.8911625,0.32105273,0.69570464,0.0,0.9046561730404695,0.01814336966102322,2.208341977869471,0.9046561802582195,249.33333333333334
20000,0.7451942,7.393091e-05,-0.06296626,0.017902318,0.7111378,0.0016540065,0.072455764,0.005026087,0.008020344,1.0557435,0.3638199,0.62060606,0.0,-5.522000219672918,0.37311208713799715,22.4487282037735,-5.522000188939273,2482.0
22000,0.7446919,7.381091e-05,-0.08280189,0.016816707,0.7567165,0.00024786478,0.060188696,0.004021153,0.019377826,1.0091126,0.3518452,0.63411516,0.0,-2.2692631017416716,0.15343277738429606,7.434744395315647,-2.269263086374849,1360.5
