Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4189383,0.0002970003,-0.090587854,2.361420209830006,2.3614202070360384,1380.6666666666667
20000,1.4182379,0.00029100032,-0.0641927,2.1391297908765927,2.1391297785698304,1333.4285714285713
30000,1.4179189,0.00028500034,-0.038636085,5.522000204771757,5.522000188939273,2462.0
40000,1.4163504,0.00027900032,-0.008471809,4.3352534048259255,4.335253392346203,2070.0
50000,1.4167198,0.00027300033,0.020147704,2.917584264384849,2.9175842623891577,1593.7142857142858
60000,1.4170287,0.00026700032,0.043055005,2.3726349342614412,2.372634916139456,1390.3333333333333
70000,1.4173008,0.00026100036,0.05987045,3.4636561957498393,3.4636561886096993,1763.8333333333333
80000,1.4175982,0.00025500034,0.072665595,2.8136637301317284,2.8136637209182873,1540.857142857143
90000,1.4182171,0.00024900032,0.08516481,2.966808968037367,2.966808959050104,1585.8
100000,1.4184134,0.00024300034,0.09778045,2.3376020304858685,2.3376020160794724,1371.375
110000,1.4189216,0.00023700035,0.10147645,1.2785698713527784,1.278569870033405,1004.4444444444445
120000,1.419385,0.00023100035,0.11463125,4.241574236750603,4.241574224503711,2018.6
130000,1.4195635,0.00022500036,0.11913079,2.7871435252683505,2.7871435255344426,1527.857142857143
140000,1.4193459,0.00021900034,0.12961748,2.9419850409030914,2.941985035408288,1577.2
150000,1.4190954,0.00021300034,0.13720232,3.3784618644664683,3.3784618539890894,1728.0
160000,1.4186838,0.00020700035,0.123822756,0.7113240910694003,0.7113240868784487,810.1666666666666
170000,1.4185557,0.00020100035,0.13055481,3.3909974861890078,3.3909974803682417,1729.3333333333333
180000,1.418402,0.00019500036,0.12572291,1.254304702497191,1.2543046994703926,1003.0
190000,1.4181435,0.00018900036,0.12403086,1.2518804989134271,1.2518804954985778,998.8333333333334
200000,1.4183774,0.00018300035,0.14043608,2.9902356795966627,2.990235670702532,1591.8
210000,1.4188168,0.00017700037,0.1319478,2.7789923176169395,2.7789923075719605,1521.857142857143
220000,1.418807,0.00017100036,0.13683984,3.3833608801166215,3.38336087227799,1725.0
230000,1.4184031,0.00016500037,0.1381668,3.3805017042905092,3.380501694783258,1726.6666666666667
