Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4105226,0.00029850015,0.06632063,0.000861036,0.17772062,0.004252651,0.066993415,0.119526595,0.32477486,1.531718,0.4051748,0.58792365,0.21183492,5.528056874871254,1.8647197587415576,12.486350920051336,5.528056863404345,2476.25
20000,1.402064,0.00029550018,0.14087124,0.04936785,0.48271093,0.001807703,0.068245634,0.034161564,0.3020052,1.1081814,0.38149267,0.61387116,0.04194188416004181,3.017528510093689,1.5329699836671353,11.248796898126603,3.017528496403247,1565.8
30000,1.3905131,0.00029250016,0.17564356,0.05809015,0.625511,0.0018538365,0.062227447,0.024326753,0.26438278,1.080817,0.37194842,0.6295104,0.0,2.8730622913156236,0.8387345955041903,9.121572464704514,2.873062279507784,1461.2857142857142
40000,1.3834057,0.00028950017,0.19801302,0.06999414,0.63957596,0.0021149162,0.07087207,0.023050632,0.21338512,1.0283823,0.35804623,0.64009905,0.0,2.870479558195387,0.8146060537546873,9.460264610392707,2.870479550412191,1464.4285714285713
50000,1.3777242,0.00028650017,0.20010428,0.071550585,0.61610067,0.0022965898,0.07390821,0.01950425,0.17457233,0.88973254,0.3077254,0.70593673,0.0,2.623934540897608,0.6502891001291573,7.689259726554155,2.6239345457288437,1406.625
60000,1.3772192,0.00028350018,0.182268,0.063405015,0.61915416,0.0044077667,0.07095115,0.020874817,0.19694498,0.9533076,0.3284065,0.67647403,0.0,0.8090046917398771,0.46480066686247784,6.458107273404797,0.8090046856280727,776.0
70000,1.3740035,0.00028050016,0.14703065,0.038827617,0.70004797,0.0026276566,0.07254651,0.021322219,0.21341905,0.99685585,0.3435756,0.66619194,0.0,3.423746168613434,0.9498776540160179,15.450554633140564,3.4237461645156144,1772.6
80000,1.3714651,0.00027750016,0.19716488,0.039295897,0.7387602,0.0014093183,0.07261486,0.012575315,0.21888816,0.80679595,0.2852991,0.7315585,0.0,6.000000238418579,0.6943790912628174,16.274022514000535,6.000000211643055,2482.0
90000,1.3631184,0.00027450017,0.22031406,0.03993449,0.7051973,0.0024847281,0.070738025,0.018951962,0.21071,0.8025532,0.274895,0.730385,0.0,3.9233293185631433,0.8124332603377601,10.822147488594055,3.9233293021873883,1770.8333333333333
100000,1.3609666,0.00027150018,0.26400706,0.04874989,0.65241635,0.0013652669,0.07811478,0.017944831,0.21027759,0.6568886,0.22012892,0.78390616,0.0,4.943376809358597,0.8856190918013453,11.477840515971184,4.943376786494627,2147.8
110000,1.3526706,0.00026850018,0.22316027,0.050689932,0.6323545,0.0045364993,0.07302727,0.016057987,0.20448962,0.74197346,0.25712207,0.76852334,0.0,0.7848325211268204,0.27617541109569943,5.481161936078793,0.7848325140523509,683.4615384615385
120000,1.3507578,0.00026550016,0.17148304,0.054072846,0.6992095,0.003432028,0.07332264,0.024198564,0.19901583,0.7917226,0.2854736,0.75514126,0.0,2.540224365890026,0.7295051982509904,10.931553158443421,2.5402243549760897,1352.625
130000,1.3499175,0.0002625002,0.17726043,0.06370319,0.6937912,0.003580197,0.0765063,0.01922877,0.18850656,0.6325477,0.21913981,0.806406,0.0,3.0301612118879953,0.7243840657174587,9.199934545904398,3.030161185694548,1482.1666666666667
140000,1.3471781,0.00025950017,0.21365291,0.059647407,0.80293596,0.0041777254,0.077352606,0.025273308,0.20451558,0.8092994,0.2831605,0.7473373,0.0,3.054187719311033,0.8393440229286041,16.6421194520912,3.0541877172488188,1558.0
150000,1.3418438,0.0002565002,0.14888236,0.06710711,0.78806716,0.004132354,0.07316582,0.019298956,0.20130089,0.72814196,0.25470775,0.77179337,0.0,0.9984305679798127,0.45357144717127085,8.446994199603797,0.998430559434928,942.3
160000,1.3383874,0.00025350018,0.09362185,0.06496811,0.79510266,0.0038516931,0.07627769,0.024086375,0.20119521,0.65763295,0.23372924,0.7975388,0.0,1.800130373901791,0.6272645449886719,7.824294314616257,1.8001303667099111,1123.2222222222222
170000,1.3357631,0.0002505002,0.13108632,0.067209385,0.68984634,0.004938527,0.076675616,0.021385536,0.19375244,0.5944264,0.21825197,0.8240031,0.0,0.5290132164955139,0.30687752860383344,3.4048369420835605,0.5290132123762026,638.0
180000,1.3302896,0.00024750017,0.13039474,0.04790343,0.695722,0.00763573,0.07663431,0.01584257,0.19921406,0.5333133,0.17754963,0.83975065,0.0,4.388048893213272,0.8129869707860052,18.057177965342998,4.388048873282969,2056.0
190000,1.3194134,0.00024450017,0.13707371,0.05156537,0.7860564,0.0026441917,0.0729671,0.019271817,0.20181425,0.45824686,0.15741661,0.8606151,0.0,3.522610286871592,0.802368969268476,8.520105224723617,3.5226102736390508,1717.8333333333333
200000,1.3183355,0.00024150018,0.16138119,0.058774184,0.8259184,0.0068184254,0.07726006,0.023725282,0.18114984,0.5212909,0.18287376,0.84545016,0.0,6.000000238418579,1.4543388669844717,28.54082187032327,6.000000211643055,2482.0
210000,1.3150018,0.00023850019,0.23189163,0.06590444,0.85378504,0.0033217773,0.07866804,0.020759147,0.16851602,0.42188972,0.14910546,0.8681402,0.0,3.9716830611228944,0.8884011668153107,10.556645476911218,3.971683045150712,1851.6
220000,1.3148139,0.00023550019,0.2105824,0.07026323,0.637534,0.0028422787,0.0760089,0.022357812,0.16053781,0.39978454,0.13768563,0.8765089,0.0,3.928210655848185,0.9536152631044388,7.896015438561638,3.9282106428872794,1925.6666666666667
230000,1.3136669,0.0002325002,0.20010278,0.06860606,0.58814216,0.0030180637,0.07926911,0.024597138,0.16478944,0.3769411,0.12735347,0.8826029,0.0,4.745321923494339,1.2065513242036103,9.926823199912906,4.745321909384802,2047.0
240000,1.3097999,0.0002295002,0.17950988,0.056808293,0.5295865,0.0072631473,0.07659674,0.023117416,0.17280924,0.37588444,0.124871075,0.8848971,0.0,2.4014326546873366,0.7681964191475085,11.093547781330667,2.401432649032878,1364.5714285714287
250000,1.3067544,0.0002265002,0.1546492,0.0560571,0.7279995,0.004653611,0.07229567,0.02305612,0.17657432,0.46307245,0.1559687,0.8560541,0.0,2.722732032338778,0.8395757523054878,14.410448513925076,2.7227320107631385,1480.8333333333333
260000,1.3041795,0.0002235002,0.17325398,0.056101687,0.6958773,0.0041404935,0.07640821,0.019950768,0.18178172,0.34365112,0.11459494,0.8948191,0.0,2.4355348646640778,0.6730892125051469,9.210477382410318,2.4355348576791584,1302.25
270000,1.3027691,0.00022050021,0.17678069,0.055010688,0.67232484,0.010669347,0.076257646,0.022055574,0.15633799,0.43016785,0.14095205,0.8646578,0.0,4.13976891040802,1.003333381563425,16.386468776129185,4.139768894575536,1937.0
280000,1.2980657,0.00021750022,0.15925339,0.045576125,0.64078575,0.0047376677,0.0697145,0.019316833,0.18021859,0.364783,0.12437093,0.886212,0.0,0.8638414671787848,0.41744629995754134,4.348047164716543,0.8638414548566709,865.8461538461538
290000,1.2937969,0.00021450019,0.11171072,0.042767532,0.5674292,0.007073412,0.070541725,0.024648631,0.16216917,0.3728307,0.12620084,0.88575137,0.0,1.2508297950029372,0.5709428834728897,6.365582809678744,1.250829790532589,974.1
300000,1.2883369,0.0002115002,0.15121682,0.053816117,0.48274595,0.0033705507,0.07413004,0.025893409,0.15953073,0.36494294,0.12623122,0.88952285,0.0,4.206324107944965,1.3293625288642943,10.833869518712163,4.206324097933248,2061.25
310000,1.2841,0.00020850019,0.16258973,0.05186271,0.43433568,0.0022400175,0.07603928,0.023744926,0.18062818,0.26187336,0.08858375,0.92096055,0.0,3.9038961629072824,1.0495947094944615,7.109799246924619,3.9038961441256106,1892.3333333333333
320000,1.2801825,0.0002055002,0.15759026,0.068148375,0.44016504,0.0056330687,0.074564755,0.025376812,0.17316745,0.30640477,0.10106305,0.90904367,0.0,2.171657744795084,0.9297968172468245,6.8522759838961065,2.1716577450861223,1275.125
330000,1.2775687,0.0002025002,0.15795986,0.08634889,0.4396523,0.0027208987,0.07375672,0.030683318,0.17163023,0.29671866,0.10343377,0.9116432,0.0,2.7829276749065945,1.0721810429490037,6.495344735948103,2.782927661335894,1421.0
340000,1.2752305,0.00019950021,0.15163891,0.08219789,0.37851202,0.0030207215,0.072292484,0.027321007,0.15615869,0.2650757,0.0922169,0.9200899,0.0,2.713397885362307,0.9033275294738511,3.263417082023807,2.7133978845474,1474.3333333333333
350000,1.2746896,0.0001965002,0.15048274,0.08241821,0.34043765,0.006551449,0.07053007,0.032885008,0.16489881,0.26584947,0.08976699,0.92531,0.0,3.7396018356084824,1.5527704993728548,9.16830655404677,3.739601825014688,1823.0
360000,1.2720883,0.0001935002,0.14706959,0.08889671,0.39752448,0.010566825,0.071339294,0.029769499,0.16334973,0.30624333,0.101862445,0.91343963,0.0,3.532527333498001,1.3006933548487722,17.26791654760018,3.5325273345690222,2001.4
370000,1.2701263,0.00019050021,0.15578702,0.07277067,0.37399906,0.0037855268,0.070544265,0.027165633,0.1487585,0.20722799,0.06696642,0.9386257,0.0,2.5897068636757985,0.9381982439330646,3.7652836961538663,2.589706835902429,1329.5714285714287
380000,1.2695987,0.00018750022,0.1960983,0.10277146,0.46564063,0.011142354,0.080877565,0.03705062,0.16091664,0.29120976,0.09603076,0.91417056,0.0,4.076727110147476,1.8331611044704914,14.856747369468213,4.076727087050676,1904.4
