Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4099234,0.00029850015,0.00071234617,0.11428559,0.10228607,0.005245989,0.33622912,0.11042915,0.32397807,1.7024944,0.43745735,0.5718394,0.2101997,6.000000238418579,1.2726438802977402,13.792524496714273,6.000000211643055,2482.0
20000,1.4023696,0.00029550018,0.1208484,0.10017713,0.43031254,0.0017328082,0.3802387,0.025244186,0.30176055,1.2009292,0.41072282,0.59520257,0.04280982613563537,6.000000238418579,1.4265318280085921,16.926720075309277,6.000000211643055,2482.0
30000,1.4019998,0.00029250016,0.175456,0.06425144,0.48566523,0.0013794343,0.33761567,0.015749391,0.29178873,0.91990244,0.32184014,0.7024759,0.0,6.000000238418579,0.8496934329159558,8.984399031847715,6.000000211643055,2482.0
40000,1.4027102,0.00028950017,0.23757204,0.047271457,0.5702017,0.0018772378,0.42249477,0.019437224,0.24526304,1.0390797,0.36638272,0.65306944,0.0,6.000000238418579,1.1291043288074434,15.628152161836624,6.000000211643055,2482.0
50000,1.4012195,0.00028650017,0.26034403,0.0427147,0.6312422,0.0024138049,0.3894998,0.020817693,0.221627,1.0330799,0.36373273,0.65624034,0.0,4.25901581843694,0.9478732471664747,12.39146032432715,4.259015796667275,1934.1666666666667
60000,1.3975801,0.00028350018,0.26839632,0.044166382,0.6063423,0.0016204767,0.42156973,0.015622521,0.23342821,0.934456,0.33651426,0.6915025,0.0,6.000000238418579,0.9648054514545947,13.764293611049652,6.000000211643055,2482.0
70000,1.3936468,0.00028050016,0.29254085,0.031155813,0.65732086,0.0013818366,0.40970916,0.01679142,0.24453004,1.0521531,0.37453288,0.6503622,0.0,6.000000238418579,0.9604265866801143,17.604687228798866,6.000000211643055,2482.0
80000,1.3864961,0.00027750016,0.2625525,0.04962616,0.639133,0.002300274,0.4440957,0.012805842,0.22988844,0.9849866,0.34748727,0.6752802,0.0,6.000000238418579,0.7871339907869697,17.257664173841476,6.000000211643055,2482.0
90000,1.3856058,0.00027450017,0.25420466,0.044374414,0.69879365,0.0016324793,0.4208427,0.013446232,0.21875715,0.9154396,0.33032966,0.69707406,0.0,6.000000238418579,0.7624178435653448,14.02606251835823,6.000000211643055,2482.0
100000,1.3858966,0.00027150018,0.2421842,0.04244121,0.64244896,0.0016947703,0.4885811,0.017143669,0.21523926,0.9029726,0.32082397,0.7033466,0.0,6.000000238418579,1.0064005018211901,18.84443759545684,6.000000211643055,2482.0
