Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4105519,0.00029850015,-0.086133964,0.16038823,0.10083628,0.0042873314,0.3078289,0.11946632,0.31821528,1.8066685,0.4675164,0.531023,0.19478357,-6.000000238418579,2.4661892962952456,14.05502462387085,-6.000000211643055,2482.0
20000,1.4018998,0.00029550018,-0.19404003,0.111007735,0.3557755,0.0012478374,0.3416586,0.0218249,0.29598585,1.2539028,0.44580087,0.56281966,0.039559167623519895,-6.000000238418579,1.3124785898253322,14.908100821077824,-6.000000211643055,2482.0
30000,1.4011194,0.00029250016,-0.25914112,0.08623808,0.5233394,0.0012396025,0.34564385,0.016318563,0.24273095,1.2142025,0.42990357,0.5821403,0.0,-6.000000238418579,0.9176869946531951,16.476718068122864,-6.000000211643055,2482.0
40000,1.402148,0.00028950017,-0.27616867,0.04896508,0.5901405,0.0012238373,0.30595592,0.0126800835,0.22987372,1.0965304,0.3907884,0.62819505,0.0,-6.000000238418579,0.7013196269981563,14.408120661973953,-6.000000211643055,2482.0
50000,1.4004978,0.00028650017,-0.2770603,0.044827286,0.6510357,0.0018255388,0.33479184,0.0124756675,0.22496657,1.0946935,0.39473394,0.62643737,0.0,-4.25901581843694,0.5826208520059785,13.752168049414953,-4.259015796667275,1934.1666666666667
60000,1.3998228,0.00028350018,-0.2611004,0.029809654,0.61634076,0.0011678212,0.29632846,0.008514961,0.2330232,0.97368383,0.3592388,0.6780522,0.0,-6.000000238418579,0.4389856425113976,12.910125344991684,-6.000000211643055,2482.0
70000,1.3961754,0.00028050016,-0.24153046,0.021904597,0.54636854,0.00083276886,0.29743373,0.008530475,0.21494752,0.9029133,0.33678004,0.7096122,0.0,-6.000000238418579,0.45754692889750004,11.82061966881156,-6.000000211643055,2482.0
80000,1.3959762,0.00027750016,-0.22935963,0.01888268,0.55249625,0.0013044446,0.38700518,0.011822964,0.21047124,0.9456686,0.35171503,0.6962274,0.0,-6.000000238418579,0.6811351219657809,16.84241582080722,-6.000000211643055,2482.0
90000,1.3958273,0.00027450017,-0.22144619,0.017963244,0.6092437,0.0012980395,0.329392,0.0134887695,0.20391648,0.9858087,0.366127,0.68101853,0.0,-6.000000238418579,0.7106017642654479,13.678803071379662,-6.000000211643055,2482.0
100000,1.396298,0.00027150018,-0.22263482,0.022111043,0.57627285,0.0014599666,0.36215407,0.010467022,0.21384387,0.96366197,0.36132067,0.68973684,0.0,-6.000000238418579,0.5819105715490878,14.193876527249813,-6.000000211643055,2482.0
110000,1.3937839,0.00026850018,-0.22893111,0.017658222,0.5636211,0.0021701527,0.41011918,0.012289844,0.21738808,0.97301733,0.35539532,0.6809568,0.0,-3.888522171974182,0.555933791026473,12.11903695166111,-3.888522166525945,1813.2
120000,1.394097,0.00026550016,-0.23818104,0.014724692,0.57335186,0.0016186932,0.3137901,0.0091343345,0.2075895,0.93238366,0.3381204,0.6931511,0.0,-6.000000238418579,0.48453599819913507,12.94117945060134,-6.000000211643055,2482.0
130000,1.3953886,0.0002625002,-0.24664879,0.010406558,0.54100245,0.0028164468,0.37000853,0.011180444,0.19764169,0.9180838,0.32880524,0.6966893,0.0,-4.236065256595611,0.4688866328448057,10.481033581495286,-4.236065233917907,1982.0
140000,1.3943572,0.00025950017,-0.22816524,0.009444053,0.59991217,0.0021670843,0.32230648,0.010733245,0.2136963,0.8404994,0.29710987,0.7140733,0.0,-4.860231816768646,0.6094327662140131,12.104480946063996,-4.860231799585745,2282.4
150000,1.3898399,0.0002565002,-0.22240686,0.008759265,0.6430651,0.0018641384,0.3363436,0.0090507185,0.20045999,0.8111938,0.28170663,0.7265034,0.0,-6.000000238418579,0.5376899654511362,16.84837383776903,-6.000000211643055,2482.0
160000,1.3872716,0.00025350018,-0.23233537,-0.0005286363,0.6476973,0.0016286836,0.30616456,0.008393596,0.19062662,0.71099365,0.24046707,0.7563162,0.0,-6.000000238418579,0.4565243856050074,12.93886149674654,-6.000000211643055,2482.0
170000,1.3872219,0.0002505002,-0.22101839,0.0062645553,0.5135934,0.0025742766,0.3908705,0.010004881,0.19299328,0.6547018,0.21357234,0.7698181,0.0,-6.000000238418579,0.5898664756678045,13.868286715820432,-6.000000211643055,2482.0
180000,1.3886927,0.00024750017,-0.2110451,0.014143221,0.4309945,0.001494731,0.29027194,0.009124024,0.19129288,0.5136034,0.17243712,0.8214459,0.0,-4.5641815438866615,0.40103025268763304,4.989761725068092,-4.56418152700644,2003.25
190000,1.3945819,0.00024450017,-0.19285905,0.030150637,0.5462973,0.0036295757,0.39561528,0.011954442,0.19097975,0.7087184,0.22951415,0.75265217,0.0,-5.355434304475784,0.6460129786282778,17.082908180356025,-5.355434280028566,2351.4
200000,1.3917058,0.00024150018,-0.20240736,0.04261569,0.53945273,0.0020348132,0.33162677,0.024004823,0.188866,0.58407265,0.19458131,0.7955268,0.0,-4.983384147286415,0.8927166745997965,9.444349889352452,-4.983384134655353,2211.25
210000,1.3919476,0.00023850019,-0.21997686,0.062100947,0.54942787,0.0020224005,0.33766988,0.043104585,0.15090689,0.5508014,0.17709655,0.80925596,0.0,-6.000000238418579,2.119582892395556,15.849664581939578,-6.000000211643055,2482.0
220000,1.3932449,0.00023550019,-0.22534494,0.069314055,0.52761376,0.0023735298,0.37070584,0.030998971,0.13924256,0.50189936,0.16087855,0.82504606,0.0,-5.068806213140488,1.481720420718193,11.183126769959927,-5.0688061906956134,2200.0
230000,1.3956728,0.0002325002,-0.2216855,0.06153854,0.45959514,0.003445726,0.32479894,0.02416969,0.13737103,0.5448621,0.1766325,0.8116263,0.0,-5.46152601391077,1.1554866079241037,14.143310332670808,-5.461525993072428,2448.75
240000,1.4000967,0.0002295002,-0.22263232,0.04921587,0.43804502,0.002268038,0.29880202,0.0214436,0.13123325,0.44598135,0.1425489,0.84594756,0.0,-5.2981744185090065,0.9867561496794224,7.309697855263948,-5.298174400988501,2375.0
250000,1.4039526,0.0002265002,-0.16940986,0.06091209,0.5111327,0.003563886,0.35117996,0.029297626,0.14413401,0.5792992,0.19275899,0.80689317,0.0,-3.3672342360019685,1.0758988354355097,8.99168671220541,-3.3672342293895783,1738.8
260000,1.4018693,0.0002235002,-0.18279408,0.07096306,0.50423706,0.0033045192,0.38607264,0.038238507,0.17179951,0.51812476,0.16549484,0.8195227,0.0,-3.8716754496097563,1.3280711129307747,11.231011908128858,-3.8716754373162985,1985.2
