Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4118346,0.0002970003,-0.1033115,-0.110965185,0.04279902,0.0055308137,0.06608157,0.16342391,0.3242483,1.5878327,0.4334476,0.5702007,0.19092762,-5.417089402675629,3.228837248403579,14.299885857850313,-5.417089374968782,2422.5
20000,1.4055686,0.00029100032,-0.19645493,-0.002017139,0.396448,0.0012531942,0.07368219,0.02249486,0.3000409,1.1323932,0.40249175,0.59833515,0.035863572359085084,-6.000000238418579,1.3144656354561448,16.69713133201003,-6.000000211643055,2482.0
30000,1.4030828,0.00028500034,-0.19846085,0.034065664,0.6066803,0.0015338914,0.06264641,0.026569566,0.21127138,1.0834986,0.36910862,0.613845,0.0,-3.680590254068375,1.32495359480381,11.831258291006089,-3.680590231716633,1698.0
40000,1.4026248,0.00027900032,-0.21657021,0.03957648,0.67081845,0.001384004,0.06878667,0.020313343,0.20686683,1.1315551,0.3965489,0.5944079,0.0,-4.450486618280411,0.9879395712167025,14.161163841933012,-4.450486600073054,2089.8
50000,1.4001408,0.00027300033,-0.2096454,0.030936338,0.680355,0.0020029382,0.07527174,0.023033006,0.19165313,1.0955992,0.3892484,0.61283314,0.0,-2.94915501276652,0.8530202632149061,10.267239339649677,-2.949155010515824,1594.3333333333333
60000,1.4004043,0.00026700032,-0.17146139,0.05234028,0.72506493,0.0020737876,0.06649561,0.018550871,0.18024631,0.96156394,0.3335051,0.6787175,0.0,-4.145458507537842,0.912052646651864,16.14313048273325,-4.145458483463154,1943.6
70000,1.3994865,0.00026100036,-0.19990273,0.056818973,0.7659454,0.0020849332,0.06894108,0.020143297,0.1910414,0.9198895,0.32375783,0.68699217,0.0,-3.960894212126732,0.9349976389979323,14.35149339834849,-3.9608941874466836,1790.5
80000,1.4000577,0.00025500034,-0.16667369,0.067505956,0.80119276,0.0017352992,0.0745994,0.018480662,0.20120025,0.9698664,0.3567476,0.67421967,0.0,-3.3066019167502723,0.8149476849163572,10.638166641195616,-3.3066019074758515,1611.0
90000,1.4002755,0.00024900032,-0.15087451,0.06400547,0.79196453,0.0026476157,0.06880406,0.01820803,0.19080612,0.98404664,0.3642444,0.6747185,0.0,-1.9565593070454068,0.558986308467057,8.768571025795406,-1.956559304277309,1222.6666666666667
100000,1.3986577,0.00024300034,-0.14551578,0.059084747,0.79096323,0.0026937032,0.0760442,0.018243555,0.18924925,0.8935749,0.33023268,0.7097889,0.0,-2.0406933426856995,0.5430588596500456,9.022025818005204,-2.0406933335470967,1228.0
110000,1.3918227,0.00023700035,-0.16846997,0.054204527,0.7556674,0.0018085641,0.07041213,0.017852694,0.19332913,0.80717903,0.29383874,0.74343157,0.0,-3.8654080390930177,0.7463341534137726,10.600466953217984,-3.8654080227948726,1805.4
120000,1.3915583,0.00023100035,-0.16838369,0.05854408,0.7018485,0.0020100323,0.07246391,0.018392721,0.17640182,0.7043703,0.23806795,0.76995003,0.0,-4.233583664894104,0.9589243393391371,12.47992005199194,-4.23358365171589,1979.6
130000,1.3931049,0.00022500036,-0.1700934,0.052321352,0.6892262,0.0038604338,0.07375097,0.019304669,0.18302234,0.8122004,0.27605543,0.72897035,0.0,-2.0170850940048695,0.6185501655563712,10.262542759999633,-2.017085077939555,1214.0
140000,1.3898177,0.00021900034,-0.10618343,0.05259658,0.740217,0.0026586852,0.07518834,0.020785946,0.18867989,0.80497646,0.26911592,0.72867143,0.0,-2.5735119618475437,0.663406852632761,10.75599563587457,-2.57351195186493,1364.75
