Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.606328,1e-10,0.1004739,-1.0010000430047512,-1.0009999310132116,985.0
3000,1.6067212,1e-10,0.12166452,-1.0000000447034836,-0.9999999310821295,985.0
4000,1.6065925,1e-10,0.110155866,-1.0000000447034836,-0.9999999310821295,985.0
5000,1.6065509,1e-10,0.10338132,-1.0000000447034836,-0.9999999310821295,985.0
6000,1.6073648,1e-10,0.09278,-1.0000000447034836,-0.9999999310821295,985.0
7000,1.6065608,1e-10,0.10936192,-1.0000000447034836,-0.9999999310821295,985.0
8000,1.6071253,1e-10,0.12800679,-1.0000000447034836,-0.9999999310821295,985.0
9000,1.606615,1e-10,0.09699997,-1.0000000447034836,-0.9999999310821295,985.0
10000,1.6066766,1e-10,0.10728576,-1.0000000447034836,-0.9999999310821295,985.0
11000,1.6064943,1e-10,0.10875616,-1.0000000447034836,-0.9999999310821295,985.0
12000,1.6064085,1e-10,0.11175883,-1.0000000447034836,-0.9999999310821295,985.0
13000,1.6070178,1e-10,0.124035,-1.0000000447034836,-0.9999999310821295,985.0
14000,1.6064206,1e-10,0.11553462,-1.0000000447034836,-0.9999999310821295,985.0
15000,1.606842,1e-10,0.09365994,-1.0000000447034836,-0.9999999310821295,985.0
16000,1.6054362,1e-10,0.08992651,-1.0000000447034836,-0.9999999310821295,985.0
17000,1.6062927,1e-10,0.10284665,-1.0000000447034836,-0.9999999310821295,985.0
18000,1.6069556,1e-10,0.13036332,-1.0000000447034836,-0.9999999310821295,985.0
19000,1.6064954,1e-10,0.09954335,-1.0000000447034836,-0.9999999310821295,985.0
20000,1.6068813,1e-10,0.10008293,-1.0000000447034836,-0.9999999310821295,985.0
21000,1.6067164,1e-10,0.12452459,-1.0000000447034836,-0.9999999310821295,985.0
22000,1.6063308,1e-10,0.121472076,-1.0000000447034836,-0.9999999310821295,985.0
23000,1.6066782,1e-10,0.094509855,-1.0000000447034836,-0.9999999310821295,985.0
24000,1.6073565,1e-10,0.10548785,-1.0000000447034836,-0.9999999310821295,985.0
25000,1.6069093,1e-10,0.100039914,-1.0000000447034836,-0.9999999310821295,985.0
26000,1.6066675,1e-10,0.090575084,-1.0000000447034836,-0.9999999310821295,985.0
27000,1.6061043,1e-10,0.123663634,-1.0000000447034836,-0.9999999310821295,985.0
28000,1.6063474,1e-10,0.10951048,-1.0000000447034836,-0.9999999310821295,985.0
29000,1.6063498,1e-10,0.108053446,-1.0000000447034836,-0.9999999310821295,985.0
30000,1.6063094,1e-10,0.12310657,-1.0000000447034836,-0.9999999310821295,985.0
31000,1.6069963,1e-10,0.10335359,-1.0000000447034836,-0.9999999310821295,985.0
32000,1.6064863,1e-10,0.096099444,-1.0000000447034836,-0.9999999310821295,985.0
33000,1.6061692,1e-10,0.104519494,-1.0000000447034836,-0.9999999310821295,985.0
34000,1.60618,1e-10,0.100130044,-1.0000000447034836,-0.9999999310821295,985.0
35000,1.6069244,1e-10,0.11785178,-1.0000000447034836,-0.9999999310821295,985.0
36000,1.6066949,1e-10,0.11976868,-1.0000000447034836,-0.9999999310821295,985.0
37000,1.6071132,1e-10,0.09509686,-1.0000000447034836,-0.9999999310821295,985.0
38000,1.6074116,1e-10,0.09419188,-1.0000000447034836,-0.9999999310821295,985.0
39000,1.6063687,1e-10,0.09005286,-1.0000000447034836,-0.9999999310821295,985.0
40000,1.6074097,1e-10,0.1222975,-1.0000000447034836,-0.9999999310821295,985.0
41000,1.6064544,1e-10,0.105757885,-1.0000000447034836,-0.9999999310821295,985.0
42000,1.6068904,1e-10,0.10116316,-1.0000000447034836,-0.9999999310821295,985.0
43000,1.6064904,1e-10,0.11322079,-1.0000000447034836,-0.9999999310821295,985.0
44000,1.6068782,1e-10,0.097495645,-1.0000000447034836,-0.9999999310821295,985.0
45000,1.6068078,1e-10,0.08931522,-1.0000000447034836,-0.9999999310821295,985.0
46000,1.6063209,1e-10,0.08839699,-1.0000000447034836,-0.9999999310821295,985.0
47000,1.6066865,1e-10,0.11100025,-1.0000000447034836,-0.9999999310821295,985.0
48000,1.6064124,1e-10,0.109567665,-1.0000000447034836,-0.9999999310821295,985.0
49000,1.606935,1e-10,0.08743116,-1.0000000447034836,-0.9999999310821295,985.0
50000,1.6068337,1e-10,0.10505616,-1.0000000447034836,-0.9999999310821295,985.0
